OBD1 ID,OBD2 ID,OBD3 ID,Count
2,111,186,120
15,121,,101
10,,197,50
6,63,193,869
15,121,184,2454
3,,198,406
11,58,190,29
7,138,191,3464
7,138,193,93
15,67,185,1516
10,145,197,1112
14,177,181,12
6,97,189,94
2,62,183,149
18,143,189,578
18,130,187,1442
12,144,183,4
10,85,184,101
5,149,193,1261
10,98,192,688
,78,197,108
16,98,186,345
10,58,195,301
5,35,191,1408
16,52,182,486
5,91,182,1396
16,84,184,1551
6,135,184,101
6,122,184,1117
7,137,184,251
11,117,197,18
5,126,186,1441
4,,197,2842
5,76,187,2
16,57,183,949
9,91,193,76
10,24,195,34
3,,183,654
6,123,192,17
16,69,193,660
18,109,197,126
6,40,196,4
9,149,191,4
16,63,184,3
2,52,194,342
16,55,196,722
12,138,193,420
9,63,188,18
12,,195,614
9,105,194,1
12,167,184,16
16,57,181,7
15,49,181,1054
3,31,184,1050
18,74,195,3
10,164,193,477
12,62,191,432
3,70,,47
3,164,190,4
5,111,197,150
14,165,184,877
5,22,190,387
4,96,186,926
10,134,184,314
12,167,198,1001
3,158,186,3254
16,119,194,354
3,87,,8
12,154,,3
16,126,197,109
16,112,,800
13,87,186,3
7,176,193,616
18,24,192,168
5,133,193,332
12,156,184,1216
16,140,191,3
17,118,192,398
11,47,196,623
18,93,191,237
3,50,198,47
,,197,7849
3,171,192,1300
3,74,184,230
5,35,184,24
11,117,198,711
8,,195,1029
17,157,186,13
3,99,195,1029
14,177,186,26
16,101,186,1713
14,146,191,112
10,33,197,14
5,57,184,2
10,110,189,89
3,,190,17
16,124,190,63
5,,184,31
18,,181,575
1,107,189,2655
16,58,185,627
3,97,,4
1,107,188,14
16,176,190,465
3,164,193,394
4,97,198,118
1,98,184,236
12,133,197,106
10,140,183,111
4,148,197,166
4,179,191,559
11,103,,2
,33,187,5
7,72,183,1649
10,,,118
16,29,195,480
9,147,191,272
7,,190,4
6,33,187,494
17,133,186,12
8,137,186,5
10,119,186,118
14,156,,5
9,105,181,609
17,83,194,415
5,107,197,5
5,,191,27
16,99,194,518
17,54,193,323
10,38,183,265
14,121,186,1707
8,25,197,767
5,117,195,5
18,28,185,513
10,20,190,262
6,124,186,380
13,107,185,31
16,136,192,11
17,83,192,78
13,83,181,166
12,40,185,148
3,87,186,640
,100,181,2
16,74,,21
16,34,,11
,35,191,21
5,42,185,189
,138,,5
18,57,184,14
11,29,195,30
16,66,194,105
5,83,183,4
8,74,189,7
8,74,182,895
10,174,197,346
16,66,,7
4,178,189,354
,62,191,6
14,168,187,2
10,,184,36
10,51,182,166
,102,182,1664
7,35,181,594
14,177,,1018
10,93,,74
4,148,195,2
18,93,198,3
10,54,,6
1,107,186,41
5,,,144
12,74,182,3
6,67,198,188
,,198,44
5,91,197,17
5,117,,653
11,27,191,1611
3,69,195,559
15,67,184,61
17,64,190,5
4,145,,3
16,171,195,1
10,,186,208
6,59,195,942
12,52,197,4
18,57,185,544
17,,193,260
14,121,,46
11,88,187,261
,178,181,261
6,55,183,1072
11,21,194,58
4,175,192,177
,105,187,23
13,83,184,7
18,,,164
12,77,195,284
14,51,187,146
8,20,181,348
