OBD1 ID,OBD2 ID,OBD3 ID,Count
10,64,196,18
6,55,183,995
5,175,187,101
13,64,185,474
9,32,185,115
15,121,184,2006
16,55,196,615
5,77,198,97
8,100,,124
10,38,183,244
15,67,185,1652
12,,195,480
,102,182,1317
16,77,198,33
18,57,185,439
6,121,192,169
5,35,191,1441
4,,197,1665
6,54,198,3
11,,192,162
8,74,182,809
16,69,187,61
10,98,192,525
18,29,195,476
14,121,186,1768
5,163,188,122
11,86,184,59
7,,191,759
14,112,,8
14,121,191,17
16,99,194,451
3,103,192,730
11,141,184,138
12,68,187,272
18,50,195,257
11,121,196,1
16,174,186,4
7,138,191,2671
12,101,,2
3,158,186,3291
5,149,193,1024
10,179,187,30
4,96,193,7
16,84,184,1229
8,,195,971
10,151,185,1
12,167,198,904
8,25,197,666
14,95,186,230
11,138,184,291
14,165,184,778
5,131,191,3
3,69,183,3
10,167,188,236
5,42,184,327
10,,193,32
8,20,181,334
10,134,184,247
7,134,189,2
3,158,185,22
13,60,186,70
1,,,35
3,31,181,3
7,72,183,1537
18,146,193,85
13,45,198,305
6,129,183,92
6,50,,4
5,79,186,118
6,59,195,976
6,104,188,1364
18,147,192,259
16,29,195,438
17,140,197,734
7,44,184,996
1,,181,90
11,90,198,3
14,65,193,615
4,56,181,47
14,178,185,855
18,133,186,706
18,143,189,522
17,118,192,431
,45,198,3
17,,184,55
16,144,191,194
7,52,194,174
9,85,182,832
5,91,182,1377
7,137,184,212
11,69,198,79
10,152,197,11
1,65,192,253
6,84,194,218
13,115,186,408
10,174,197,344
7,96,192,353
,35,181,11
12,151,186,47
10,20,190,222
15,180,,10
3,79,186,996
17,167,188,67
16,,185,294
1,107,189,2007
7,99,193,19
16,74,195,460
8,,198,3
11,117,193,891
,89,184,117
5,131,196,48
3,87,181,4
2,136,185,2
6,33,187,509
10,33,192,1413
16,126,198,33
9,105,181,372
3,146,197,40
3,166,,15
16,101,183,7
5,82,,3
3,99,195,1096
12,172,186,2
10,54,191,137
11,40,196,778
16,58,185,484
12,,194,1800
10,93,,66
10,151,190,127
17,133,191,207
10,67,190,221
5,171,189,68
5,143,191,102
6,122,184,975
7,119,193,18
3,,183,604
6,52,185,565
11,90,197,470
14,24,196,388
17,148,197,654
13,107,190,1813
4,140,184,881
3,135,186,20
5,22,190,389
16,57,183,829
14,,188,3
10,73,185,1
12,168,192,45
13,57,183,3
17,,198,223
11,117,183,14
10,130,194,139
18,28,185,355
2,64,186,13
12,168,181,384
9,105,189,1
5,121,183,28
10,58,189,321
12,133,189,323
16,69,193,696
6,85,184,4
4,178,196,1
11,117,198,643
3,70,195,209
11,101,186,3
7,132,182,173
12,114,198,52
12,151,185,338
12,52,198,232
16,73,198,145
5,88,183,42
11,21,194,44
5,102,190,230
7,34,198,54
17,133,186,9
2,62,183,127
4,179,187,29
18,101,185,433
10,158,188,394
1,53,190,58
12,83,183,527
17,63,185,63
14,178,193,2
,52,186,1
10,145,197,918
4,96,186,878
10,56,182,10
17,,,58
7,145,186,352
18,24,192,144
14,58,,524
,121,181,4
4,97,198,117
11,27,191,1661
,121,,7
1,98,184,217
17,152,,5
10,109,186,61
15,54,188,541
16,159,193,574
16,52,182,449
3,70,184,920
16,112,186,564
16,173,198,99
16,151,193,211
7,,185,10
3,171,192,1223
,102,181,23
9,91,193,64
14,67,185,4
16,101,186,1273
12,86,183,121
,31,196,74
10,26,183,1146
18,145,187,326
16,178,189,2
3,125,195,143
15,75,188,65
7,41,192,2
9,137,183,76
5,140,191,179
1,44,195,86
3,113,197,72
5,119,188,75
11,88,187,251
7,35,181,456
16,112,,771
16,74,198,3
1,138,,1
6,178,197,213
12,137,192,90
10,174,183,515
16,100,187,182
