OBD1 ID,OBD2 ID,OBD3 ID,Count
7,72,183,2054
18,112,187,2
10,35,193,519
11,27,191,4016
16,159,193,589
7,137,184,619
14,126,186,43
6,19,192,2250
4,96,186,2399
17,140,197,2330
12,56,187,114
4,,197,11854
3,158,186,5301
16,54,186,8
4,179,191,1276
10,33,192,16975
,102,182,410
3,171,192,3638
14,177,,5311
14,72,182,4200
16,166,189,3
5,126,186,6069
3,164,193,6848
16,98,186,234
16,124,189,629
6,63,193,1761
6,104,188,2989
9,85,182,3308
3,180,187,255
1,65,192,673
5,35,191,1482
17,40,185,205
15,,181,480
18,26,186,1063
16,166,198,2018
3,79,186,5303
14,130,196,714
11,27,192,24
17,155,188,590
11,162,198,291
17,121,182,2281
8,,195,3017
5,153,,706
5,,197,354
6,59,195,2069
16,102,181,2479
5,149,193,1795
10,152,192,226
5,107,191,1152
16,176,190,5202
16,42,,1247
3,164,186,286
10,,186,43
,171,192,65
17,31,185,399
7,119,184,199
6,55,183,2578
17,19,187,1525
3,79,,197
16,173,198,311
7,,191,3575
2,152,186,2327
14,112,187,537
11,82,184,126
10,117,193,8
16,37,185,1230
11,117,193,2940
11,39,184,898
6,97,189,85
18,26,189,920
17,133,191,328
12,77,195,1940
10,158,188,1333
9,39,194,1063
12,62,197,1
11,179,184,1
4,116,187,1051
12,44,188,172
13,64,185,971
16,81,185,4
16,96,188,253
17,83,194,990
9,78,193,551
12,86,197,178
16,54,198,2135
11,40,194,4
11,40,187,275
,59,195,56
17,58,185,127
8,102,191,140
5,126,,200
9,147,191,793
9,147,182,4
18,143,189,2814
6,33,190,927
6,55,186,12
7,126,198,763
14,58,,2668
14,78,,58
18,50,195,875
17,148,197,2940
15,43,188,416
11,40,196,2246
10,114,194,321
3,141,,36
11,138,192,27
5,,198,4561
16,102,,102
18,177,189,122
6,84,194,502
18,57,185,4278
,33,192,491
5,102,190,1821
11,32,195,164
12,,189,16
9,105,183,422
10,102,190,5
11,,181,4
12,123,,12
12,167,198,356
,35,191,39
6,,198,91
5,42,185,735
,,192,242
14,48,186,86
10,,189,39
12,62,191,1172
9,153,,155
16,176,185,13
14,58,185,61
11,138,184,1270
17,,189,10
7,96,192,591
3,40,186,553
4,,,277
3,164,195,18
5,175,187,322
4,67,183,206
,57,185,115
,78,197,392
10,110,189,296
,,198,204
,33,,84
16,,192,39
14,179,184,687
2,107,197,459
3,44,184,601
16,95,183,12
15,54,,26
