OBD1 ID,OBD2 ID,OBD3 ID,Count
6,19,192,33469
5,28,183,28438
2,152,186,90212
6,68,198,84816
9,40,190,1298
6,55,183,80128
1,107,189,42660
10,81,185,4828
12,153,198,27804
17,118,192,65779
13,70,183,12007
5,126,186,135691
3,164,193,189635
4,179,191,32266
16,176,190,81638
11,117,193,61374
10,34,193,21523
10,33,192,151667
9,39,194,33086
3,99,195,31975
17,140,197,68502
2,107,197,17182
12,77,195,24221
11,27,191,49936
12,44,188,9977
4,94,189,25
16,33,192,788
4,118,198,13142
4,96,186,20486
18,26,186,43106
6,104,188,54733
2,52,194,10641
10,54,191,15289
4,94,192,10646
17,148,197,48679
16,46,186,5153
18,143,189,86479
18,26,189,47881
3,152,193,56
16,102,181,43508
4,116,187,16933
10,158,188,24685
8,104,189,2477
8,164,181,13015
1,44,195,14949
11,40,196,76044
5,126,198,762
16,173,187,29
5,58,189,14398
12,46,193,31197
16,102,190,557
16,166,198,51161
16,159,193,2977
7,72,183,54287
10,85,184,15830
16,107,189,121
5,177,185,11493
17,83,194,20440
15,54,188,15011
18,145,187,29438
11,138,195,75
16,112,186,14834
5,35,191,37971
5,62,189,15476
16,58,185,10910
14,161,187,10231
16,134,192,27
14,179,184,21573
12,62,191,8730
4,178,192,9022
7,137,184,17179
6,97,189,17060
11,173,186,3098
17,167,188,9561
17,133,191,9963
5,107,191,7245
5,175,187,22928
6,33,187,19837
11,117,197,237
10,58,189,38286
9,147,191,1779
12,179,188,3565
6,166,182,9381
17,77,194,1
3,158,186,47864
8,93,198,23995
7,112,192,11571
14,146,191,14487
14,72,182,35846
6,178,197,18171
10,58,195,22583
18,57,185,80496
14,119,195,14723
1,65,192,31610
3,79,186,59360
5,126,189,732
16,54,198,16806
16,173,198,10316
5,102,190,56206
16,119,198,22709
10,58,186,433
16,174,184,36026
3,171,192,41822
10,158,183,55
1,44,191,51
11,122,189,5579
2,79,185,33903
7,52,192,178
16,121,190,13788
16,23,198,31933
18,81,190,22145
4,120,186,13735
6,33,190,16469
11,40,192,411
16,58,188,26
7,52,194,25401
15,158,188,11
6,179,191,86
16,124,189,9259
18,50,195,8834
6,59,195,20081
11,129,197,18
10,130,194,29987
10,58,182,80
5,57,185,336
18,129,197,11968
11,40,193,351
18,55,183,301
14,84,186,26575
7,176,190,90
4,88,186,6283
12,114,193,35
3,164,183,531
3,164,198,1224
16,151,193,6132
18,147,192,10166
5,116,186,6646
18,24,185,8517
5,149,193,20632
18,33,192,353
11,125,188,16700
8,20,181,9704
17,64,184,7554
11,39,184,816
14,78,197,10978
3,79,189,228
3,40,186,33032
16,57,192,4314
16,176,186,668
9,78,193,17504
3,164,186,9178
16,39,192,25873
11,90,197,7775
4,96,192,179
10,85,186,152
4,29,184,1781
12,133,189,7213
9,39,193,226
12,121,181,9032
14,108,188,8296
6,35,191,6921
5,43,186,12691
17,33,192,291
18,143,196,107
11,44,184,32
14,177,198,549
16,83,181,945
9,85,192,98
18,26,191,305
18,64,185,36
18,59,183,7
5,131,182,23812
16,46,190,18
14,146,192,157
11,116,186,10
18,145,182,79
17,67,190,10880
10,85,187,52
1,74,192,4471
3,158,189,184
7,143,189,137
10,35,193,13206
4,164,186,31
18,143,198,494
11,138,184,29703
11,90,192,35
5,177,189,47
12,49,181,20
2,174,184,38
14,139,193,6834
12,114,198,8748
11,151,193,4888
16,127,197,10050
10,134,192,7454
5,53,186,7343
5,126,192,837
17,58,195,52
16,39,194,260
18,164,193,386
5,149,190,52
13,64,185,12611
12,49,192,14004
18,145,189,145
12,178,192,2356
4,67,183,8906
17,19,187,18307
12,133,197,4017
6,63,193,1064
5,126,195,369
7,44,184,13291
10,81,190,77
5,62,187,33
6,55,192,10941
5,58,186,144
9,85,182,12727
6,59,197,65
12,133,186,72
9,85,184,61
5,63,186,13991
2,152,184,162
5,28,186,250
12,55,192,27
11,72,182,70
13,64,186,121
3,152,186,355
16,37,185,6892
16,131,182,4897
11,27,184,127
14,177,189,231
6,104,198,299
16,166,185,173
14,72,185,99
9,39,191,114
6,24,185,25
3,152,190,9996
10,58,192,401
16,39,188,55
8,67,183,6
6,84,194,11882
16,137,184,58
18,34,193,52
11,138,191,76
2,107,192,93
3,40,196,292
6,176,190,203
17,40,196,179
6,55,198,443
5,42,185,12461
14,48,186,9332
17,148,192,324
18,158,188,61
11,162,198,17025
6,121,192,608
3,174,184,6877
14,102,190,125
8,158,186,32
18,59,194,2779
12,179,190,17
7,126,198,5841
11,50,181,5632
10,130,192,222
6,68,190,155
9,137,183,3833
5,176,190,249
2,107,183,42
14,51,187,2383
6,148,197,158
5,131,189,127
10,44,188,39
11,153,198,58
7,158,186,70
18,50,188,12
10,134,184,3501
17,112,186,45
6,52,194,109
6,68,197,220
11,122,193,30
5,167,188,33
14,58,192,215
16,33,191,3
11,58,189,91
5,102,193,310
9,39,187,68
5,102,197,139
16,148,197,187
14,177,188,89
10,33,185,591
16,111,187,21
8,164,193,163
4,67,195,26
7,174,184,48
14,72,190,126
7,57,185,87
14,55,183,180
16,176,193,534
17,118,186,644
6,55,195,237
4,178,189,66
10,175,187,53
16,166,187,89
6,104,186,441
2,152,198,424
14,108,193,62
3,46,193,88
10,166,198,158
12,33,187,20
17,143,189,188
10,58,190,148
17,59,195,44
3,164,192,1352
11,125,189,65
16,174,186,286
6,68,189,268
11,27,193,274
10,33,197,367
16,102,198,179
10,39,194,85
3,171,183,112
9,78,191,46
2,79,191,133
11,124,189,22
18,26,187,174
2,152,185,262
17,111,187,10030
11,97,189,30
7,104,188,69
14,78,189,51
3,138,184,90
15,52,194,16
2,140,187,1
18,121,198,2
14,171,192,72
5,117,193,197
9,39,188,82
5,126,197,367
18,143,197,214
3,79,181,86
3,164,189,660
3,174,186,57
16,121,198,100
18,26,181,155
5,158,186,176
11,138,192,203
10,33,186,1151
3,26,189,154
18,57,192,674
1,65,189,130
2,152,187,140
1,107,193,214
18,26,192,694
1,166,198,49
16,176,189,338
3,58,197,148
16,119,193,121
16,102,193,193
10,26,186,144
17,134,184,12
18,58,189,175
5,112,186,81
12,175,187,20
6,55,181,129
15,23,198,5085
11,96,186,29
18,26,198,527
14,112,187,3189
3,78,197,25
11,122,186,62
14,116,187,39
11,162,193,88
6,68,191,195
3,79,182,31
3,164,182,207
10,33,188,297
7,133,195,1
16,102,192,295
14,137,183,9
14,178,192,28
6,59,189,100
11,122,198,40
7,72,197,323
14,177,192,482
7,23,198,69
18,26,195,329
12,152,186,93
6,19,186,328
18,44,184,56
6,68,186,619
11,102,190,82
16,174,195,85
8,96,186,12
7,164,193,183
6,143,189,240
18,129,191,43
12,121,195,29
1,65,190,72
16,119,197,65
6,84,182,16
3,158,197,152
17,140,195,252
5,149,192,103
6,107,197,77
11,155,181,5
16,27,191,210
17,126,186,198
17,83,195,103
10,27,186,1314
3,143,189,221
3,55,183,258
5,107,192,46
17,57,192,14
10,33,190,448
16,112,191,129
10,112,186,49
10,130,195,128
16,174,197,122
14,78,190,50
6,104,184,116
16,57,185,340
11,133,191,24
18,143,187,146
16,179,184,67
4,178,185,41
10,102,181,177
10,130,193,191
14,84,190,83
14,84,183,66
5,126,194,267
10,85,192,108
1,19,192,41
10,35,183,47
18,65,198,2
17,55,183,165
5,126,187,304
18,143,194,154
17,167,195,23
9,78,187,27
4,152,186,153
10,158,185,76
10,33,184,333
6,53,184,1
2,79,189,119
16,72,182,101
14,161,195,23
5,149,191,69
16,176,181,158
3,99,183,79
11,164,193,429
10,174,184,147
10,64,185,36
18,143,186,696
2,33,187,24
4,116,186,139
14,28,183,62
7,112,186,136
8,118,198,8
8,54,188,11
14,131,182,54
10,33,198,819
16,176,195,229
10,158,187,50
14,51,182,8
3,173,198,34
14,158,186,111
10,34,198,121
18,121,181,80
17,118,185,234
13,64,189,47
14,179,194,46
18,27,191,109
9,39,198,176
3,111,187,33
17,83,193,132
6,19,184,90
11,65,192,59
16,174,182,30
3,171,195,88
1,179,191,28
10,33,187,301
11,117,183,184
16,54,192,97
17,83,197,56
4,26,186,68
2,33,192,225
15,164,193,76
18,40,196,221
18,72,182,116
17,118,198,462
9,164,193,127
16,121,187,48
18,57,187,146
3,179,191,123
10,164,193,565
14,164,193,328
17,140,185,133
4,55,192,12
6,131,182,90
5,35,186,369
12,46,184,99
5,171,192,149
10,33,182,114
18,145,186,318
15,54,192,110
10,58,188,125
10,33,189,529
5,152,186,263
3,171,184,80
17,27,191,154
3,58,183,44
13,70,192,89
2,40,186,39
9,78,192,116
2,140,197,51
3,152,192,77
3,49,194,1
14,58,183,89
13,134,192,6
16,174,192,295
14,48,193,103
3,79,192,566
10,34,192,151
7,72,185,228
16,55,186,5
11,125,198,123
16,102,189,146
11,27,198,288
7,52,185,83
18,147,196,4
4,179,195,89
6,58,189,207
7,72,190,193
7,26,189,74
5,35,192,425
17,107,197,32
10,158,190,84
16,117,193,315
5,40,196,391
1,143,189,78
5,140,197,403
18,77,195,147
10,35,185,53
15,54,198,109
14,177,193,237
12,67,192,10
4,33,192,241
16,58,195,101
10,33,183,340
18,166,198,120
3,164,194,330
17,140,186,352
3,99,184,75
11,173,198,50
17,148,194,80
10,52,194,103
12,153,192,185
14,177,184,473
11,27,187,83
16,114,185,3
10,177,185,23
10,130,182,32
5,143,189,456
6,55,189,425
10,33,181,338
10,143,189,211
18,24,193,35
3,164,191,581
3,40,181,63
5,27,191,189
10,93,187,663
13,33,193,1
14,79,185,52
14,177,196,46
14,177,186,515
16,153,198,82
18,134,192,19
11,55,192,17
5,131,192,175
2,166,198,58
3,176,190,206
14,72,193,235
2,79,193,123
17,140,191,212
10,55,183,311
5,175,188,42
12,62,197,22
3,171,186,317
12,153,186,212
16,112,198,261
17,50,181,22
1,107,192,318
18,102,181,136
18,126,186,433
5,35,198,245
18,57,183,249
16,166,182,68
6,93,198,59
18,173,192,1
2,152,191,234
3,117,193,251
1,107,188,99
17,19,186,176
4,72,187,1
18,81,197,70
16,164,193,644
6,159,193,15
11,138,190,65
16,102,194,65
11,40,183,235
11,49,192,22
17,57,185,168
16,79,185,120
6,178,192,165
18,57,181,119
6,19,196,26
3,158,194,77
5,28,198,166
7,72,187,96
7,44,194,33
3,158,185,182
11,162,190,24
11,40,197,336
16,174,187,57
11,40,189,280
10,54,193,67
17,155,181,1691
6,55,191,229
16,112,190,91
10,58,185,271
6,164,193,577
6,33,186,301
5,42,189,44
16,23,193,193
10,164,186,37
3,65,192,113
12,62,193,38
14,139,186,39
5,164,193,717
11,117,190,171
11,40,187,113
13,70,190,45
6,33,193,255
11,138,189,110
14,23,198,60
11,162,186,110
14,78,198,73
16,133,197,17
16,58,198,76
5,126,193,994
11,149,193,42
5,52,195,1
16,127,181,18
12,44,183,24
5,35,189,157
2,152,182,87
1,99,195,32
16,173,188,21
14,177,191,225
2,166,182,17
17,83,182,25
16,72,183,196
10,34,187,46
1,126,186,95
18,57,189,299
11,90,194,18
5,43,189,72
16,40,183,1
3,162,198,51
12,62,192,70
11,107,189,40
16,34,193,108
12,121,192,51
3,130,194,128
6,84,197,51
18,39,191,3
6,33,184,101
18,147,198,79
8,93,186,234
16,112,193,165
12,49,193,68
14,96,186,47
6,79,185,101
6,97,186,179
8,164,186,129
6,68,188,187
7,68,198,71
6,68,192,599
14,26,186,110
14,58,198,198
16,126,186,365
17,148,198,230
4,140,197,176
11,138,185,97
18,57,186,569
10,117,193,176
11,27,192,364
18,63,186,48
3,28,183,120
18,164,191,3
1,58,189,49
18,147,183,30
6,120,186,23
16,104,188,181
17,43,186,23
16,55,183,302
18,84,186,57
5,145,187,166
11,117,192,397
7,112,183,36
7,137,185,55
16,176,192,581
5,70,183,34
7,137,198,107
10,53,186,21
17,164,193,402
3,146,191,45
6,33,196,40
18,62,191,57
16,178,197,42
13,70,185,45
10,70,183,35
17,118,197,198
11,50,190,18
10,54,189,52
13,64,182,22
10,158,192,149
3,158,195,130
16,164,181,46
5,54,191,67
4,179,184,98
7,112,191,56
18,81,191,59
4,118,194,31
1,65,186,236
3,158,193,209
18,57,194,129
17,19,193,139
18,72,193,2
2,152,196,61
10,130,190,105
17,148,193,318
4,99,195,88
16,112,195,117
17,102,181,101
11,164,185,2
12,174,184,57
17,83,186,189
17,171,192,90
6,97,192,138
14,72,187,103
4,118,191,49
16,166,193,233
18,110,181,1
12,46,198,196
10,119,195,18
17,67,194,36
10,72,182,110
5,131,184,57
6,68,193,338
9,78,195,59
3,164,195,571
12,84,186,24
16,174,193,198
11,40,195,338
3,133,191,52
15,54,185,61
12,126,186,136
2,175,187,21
18,143,195,254
14,78,192,104
2,79,198,226
8,68,198,68
5,131,190,96
7,127,197,18
14,84,191,95
16,131,183,16
4,68,198,147
16,40,193,5
10,33,193,925
10,130,185,93
11,117,185,153
17,140,190,129
5,58,185,116
13,26,189,10
9,78,198,122
1,72,183,31
18,26,183,335
4,139,193,15
15,72,183,12
5,28,182,36
18,119,189,2
7,137,190,56
5,62,192,132
16,39,189,87
17,118,193,289
8,164,197,43
16,46,193,151
16,176,185,243
18,153,198,61
3,79,196,72
6,55,194,108
10,121,190,55
1,44,189,86
16,99,195,95
14,161,185,39
16,23,197,95
16,26,189,154
5,102,181,593
8,164,195,58
16,54,189,68
12,46,192,192
6,166,191,33
10,57,185,291
14,58,186,211
16,174,194,42
3,152,197,41
15,127,197,3
13,176,190,16
8,93,196,51
18,33,186,10
3,57,185,208
5,131,196,38
18,62,189,31
5,42,193,62
5,35,193,229
