OBD1 ID,OBD2 ID,OBD3 ID,Count
17,,,9670
16,,,20537
5,,,15752
7,,,7232
13,,,2870
9,,,4586
3,,,10260
10,99,,6
2,,,6284
18,,,29041
11,,,6150
10,,,16154
6,,,10488
12,,,12467
1,,,3629
8,,,3365
14,,,11510
3,80,,1
15,,,9681
9,66,,3
4,,,6891
8,74,182,10
16,87,,3
12,122,,2
14,61,,3
12,176,,5
16,75,,4
14,,183,1
18,144,,3
3,167,185,1
18,120,,3
6,37,186,3
16,52,182,6
13,60,,4
4,57,,1
12,,195,4
5,141,,5
17,148,197,9
4,179,197,2
16,37,185,6
17,166,,5
18,29,,3
9,85,182,7
2,127,,2
9,56,,2
5,126,186,16
3,,183,10
9,44,,1
10,33,192,18
5,128,,2
14,164,,5
10,,195,3
7,166,,3
3,114,,1
2,167,,2
16,118,,1
2,53,,3
8,48,,1
17,19,187,11
18,177,189,3
6,52,,4
17,85,,4
12,115,,2
7,57,193,1
5,28,,3
12,117,,4
16,99,194,5
18,112,,3
16,112,186,9
6,59,195,13
14,151,,1
11,88,187,2
2,117,192,2
16,95,,1
6,99,,2
5,22,190,8
,26,,2
2,96,,3
10,140,,1
8,102,191,1
12,22,,2
7,119,193,1
16,127,197,5
11,73,185,12
18,121,,3
9,128,,2
5,163,188,3
11,27,191,16
11,102,,3
13,127,,1
5,160,,4
4,102,,2
16,73,198,5
18,45,,3
7,137,,2
4,,197,19
1,39,,1
7,138,191,41
11,113,,2
6,26,,3
13,64,185,9
7,34,198,2
12,110,,4
14,163,,2
7,40,,1
3,94,,2
3,171,192,17
17,127,,4
14,172,,8
16,28,,3
5,,198,6
3,158,186,48
4,124,,1
10,93,187,1
5,39,,3
8,45,,1
7,112,183,2
16,29,,6
15,118,,3
1,22,,2
10,144,185,1
,166,191,1
2,54,197,5
12,149,,2
16,81,,3
3,166,184,1
14,65,193,10
6,100,,3
6,53,,1
14,79,,3
1,107,189,34
15,53,,3
16,21,,6
6,63,193,6
12,98,,4
16,112,,8
7,122,,2
4,51,,2
7,85,,2
5,157,,1
18,172,,4
3,121,,2
6,85,,2
12,41,,5
6,52,185,11
18,92,,3
4,143,,1
18,133,186,17
10,38,183,8
5,103,,2
12,105,,3
3,19,,5
2,40,,1
4,151,,3
4,107,192,2
12,86,183,2
18,134,,3
17,130,,1
16,144,,4
10,38,,1
4,19,,1
3,57,,4
12,123,192,1
18,29,195,6
12,171,,2
5,131,182,4
1,129,,2
10,115,,2
7,45,,1
10,148,,2
12,167,198,14
9,98,,1
16,136,185,5
12,156,184,19
8,25,197,5
6,132,,1
16,62,,4
13,100,,2
5,19,,1
14,148,,2
16,177,,5
16,116,,3
18,111,,2
14,29,,3
2,174,198,1
15,67,185,12
16,71,,2
1,118,,3
7,72,183,12
18,114,183,1
5,74,,2
16,76,,4
12,,194,17
4,110,,3
12,46,198,4
16,166,,1
12,96,,2
6,126,,2
18,96,186,1
2,84,,2
3,122,197,3
11,90,197,6
3,166,191,21
3,77,,6
18,146,193,2
6,133,184,1
10,146,,2
7,52,193,3
4,176,,2
18,28,185,5
7,176,193,8
15,121,184,23
18,130,187,20
10,44,,2
17,27,,1
17,77,,4
14,139,,2
12,154,,2
16,50,,6
12,114,,5
15,97,188,1
16,152,,3
16,101,186,25
3,167,,1
10,169,,3
9,120,,1
9,39,181,1
5,119,,5
10,67,,3
10,151,,2
5,120,182,4
15,49,181,19
17,37,,5
18,101,,5
10,134,192,1
2,156,193,2
14,177,,16
16,120,,3
4,179,191,6
11,60,,3
10,55,,2
10,179,,4
3,23,,2
6,138,,2
3,25,,2
17,71,,1
4,85,,2
9,45,,1
16,174,184,9
15,74,,2
12,174,186,3
17,39,,2
6,114,,3
16,101,,14
10,67,190,5
1,121,198,1
5,121,,3
10,149,,3
4,132,,1
18,,181,8
9,39,194,2
13,107,190,23
10,97,186,1
4,47,,1
,123,,1
15,89,,2
7,,191,9
18,127,,2
16,167,,7
5,63,186,3
5,59,183,2
12,148,,2
18,102,,3
6,169,198,2
5,93,,3
14,,195,1
16,159,193,8
10,99,197,2
11,135,,1
,102,182,24
16,163,,2
3,103,192,10
12,32,,6
14,152,,3
10,58,189,5
4,100,,1
15,55,,2
7,156,198,2
18,162,,3
7,145,186,3
11,170,,1
3,87,186,10
10,180,,5
,103,,1
,176,,2
12,71,,5
4,155,,1
17,69,,3
16,26,,2
14,95,198,1
5,49,195,4
14,178,,1
6,128,,4
14,47,182,2
12,138,,6
16,100,,5
6,159,,2
11,81,,1
6,123,,1
4,157,,1
11,43,,2
18,88,,5
10,159,,3
9,140,,1
16,39,192,6
6,120,,4
10,66,,2
3,146,,1
8,103,,1
11,146,,1
15,116,,2
12,146,,5
10,65,,2
16,132,,1
