ID,Count
19,1393
20,1016
21,242
22,560
23,513
24,1144
25,1040
26,1945
27,2506
28,1076
29,1679
30,421
31,1182
32,577
33,2463
34,815
35,2700
36,145
37,714
38,514
39,1068
40,2000
41,610
42,774
43,577
44,1667
45,433
46,561
47,843
48,230
49,1305
50,547
51,828
52,2462
53,432
54,1800
55,2103
56,277
57,1583
58,2417
59,1766
60,829
61,505
62,844
63,1475
64,1019
65,1158
66,282
67,2679
68,813
69,3122
70,1541
71,461
72,1996
73,752
74,2036
75,136
76,294
77,592
78,619
79,1618
80,158
81,398
82,372
83,1885
84,1915
85,1206
86,610
87,1398
88,623
89,409
90,804
91,1811
92,227
93,725
94,1204
95,503
96,1570
97,632
98,1713
99,2242
100,803
101,2102
102,2812
103,980
104,1918
105,944
106,680
107,4812
108,491
109,533
110,645
111,660
112,2352
113,463
114,580
115,609
116,370
117,2824
118,882
119,1298
120,627
121,5833
122,1400
123,621
124,509
125,515
126,2262
127,647
128,173
129,699
130,1969
131,976
132,423
133,2190
134,935
135,506
136,564
137,1007
138,4238
139,644
140,2263
141,323
142,165
143,976
144,674
145,2267
146,415
147,797
148,1330
149,1485
150,160
151,1146
152,1570
153,510
154,291
155,489
156,1516
157,124
158,4214
159,703
160,34
161,502
162,363
163,525
164,1629
165,1102
166,2238
167,1896
168,922
169,420
170,73
171,1595
172,166
173,335
174,1940
175,572
176,1117
177,1296
178,2450
179,1927
180,549
