ID,Count
19,6134
20,2699
22,123
23,602
24,553
26,3952
27,7712
28,1468
29,886
30,826
31,649
32,1028
33,29707
34,1006
35,3367
36,5
37,2619
38,390
39,4435
40,6010
42,3009
43,2360
44,6036
46,2145
47,9
48,164
49,646
50,2786
51,1143
52,3574
53,296
54,5138
55,4744
56,158
57,6944
58,9294
59,4046
60,275
61,231
62,2998
63,4247
64,4228
65,1465
66,611
67,1227
68,4038
69,2542
70,426
71,315
72,4876
73,4
74,1574
75,125
76,255
77,3234
78,4526
79,10159
80,130
81,2042
82,195
83,2331
84,2228
85,6668
86,468
87,16
88,1783
89,168
90,764
93,847
94,2491
95,91
96,5151
97,2506
98,649
99,2576
100,1073
101,1044
102,8505
104,4944
105,693
106,35
107,6554
108,1517
109,633
110,464
111,1761
112,3887
113,1175
114,1526
115,9
116,1899
117,5065
118,4113
119,1547
120,1593
121,3166
122,408
123,1692
124,1060
125,221
126,12054
127,1369
129,917
130,2403
131,2605
132,153
133,2129
134,830
136,92
137,1944
138,2560
139,1997
140,4600
141,173
142,5
143,5991
144,619
145,1828
146,373
147,1542
148,5750
149,2981
150,103
151,597
152,5344
153,3797
155,1033
158,11253
159,1041
161,705
162,560
163,173
164,14707
165,17
166,4280
167,1023
168,23
169,203
171,5369
172,151
173,698
174,3016
175,596
176,9906
177,9300
178,4233
179,3949
180,399
