OBD1 ID,OBD2 ID,OBD3 ID,Count,Frequency
7,72,183,2054,0.0013277851651360075
18,112,187,2,1.2928774733554113e-06
10,35,193,519,0.00033550170433572927
11,27,191,4016,0.002596097966497666
16,159,193,589,0.00038075241590316866
7,137,184,619,0.0004001455780034998
14,126,186,43,2.7796865677141346e-05
6,19,192,2250,0.0014544871575248378
4,96,186,2399,0.001550806529289816
17,140,197,2330,0.0015062022564590542
12,56,187,114,7.369401598125845e-05
3,158,186,5301,0.003426771743128518
16,54,186,8,5.171509893421645e-06
4,179,191,1276,0.0008248558280007525
10,33,192,16975,0.010973297555104055
3,171,192,3638,0.0023517441240334933
14,72,182,4200,0.0027150426940463638
16,166,189,3,1.9393162100331172e-06
5,126,186,6069,0.003923236692896996
3,164,193,6848,0.004426812468768929
16,98,186,234,0.00015126666438258313
16,124,189,629,0.0004066099653702769
6,63,193,1761,0.0011383786152894396
6,104,188,2989,0.0019322053839296624
9,85,182,3308,0.0021384193409298502
3,180,187,255,0.00016484187785281495
1,65,192,673,0.0004350532697840959
5,35,191,1482,0.0009580222077563599
17,40,185,205,0.00013251994101892966
18,26,186,1063,0.0006871643770884012
16,166,198,2018,0.00130451337061561
3,79,186,5303,0.003428064620601873
14,130,196,714,0.00046155725798788184
11,27,192,24,1.5514529680264938e-05
17,155,188,590,0.00038139885463984633
11,162,198,291,0.00018811367237321234
17,121,182,2281,0.0014745267583618467
6,59,195,2069,0.0013374817461861731
16,102,181,2479,0.0016025216282240325
5,149,193,1795,0.0011603575323364816
10,152,192,226,0.00014609515448916148
5,107,191,1152,0.000744697424652717
16,176,190,5202,0.003362774308197425
3,164,186,286,0.00018488147868982383
17,31,185,399,0.00025792905593440457
7,119,184,199,0.00012864130859886343
6,55,183,2578,0.0016665190631551252
17,19,187,1525,0.0009858190734335012
16,173,198,311,0.00020104244710676648
2,152,186,2327,0.0015042629402490211
14,112,187,537,0.00034713760159592793
11,82,184,126,8.145128082139091e-05
10,117,193,8,5.171509893421645e-06
16,37,185,1230,0.000795119646113578
11,117,193,2940,0.0019005298858324547
11,39,184,898,0.0005805019855365797
6,97,189,85,5.4947292617604986e-05
18,26,189,920,0.0005947236377434892
17,133,191,328,0.00021203190563028745
12,77,195,1940,0.001254091149154749
10,158,188,1333,0.0008617028359913817
9,39,194,1063,0.0006871643770884012
12,62,197,1,6.464387366777056e-07
11,179,184,1,6.464387366777056e-07
