OBD1,OBD2,OBD3,Frequency Naive Replicate 1,Frequency Naive Replicate 2,Frequency Naive Replicate 3,Frequency Selected Replicate 1,Frequency Selected Replicate 2,Frequency Selected Replicate 3
17,121,182,4.756762927692447e-06,0,1.8153894191843091e-06,0.00010939097762241088,0.00013373203310135284,0.00014837208008383021
17,118,192,2.3783814638462233e-06,0,5.446168257552928e-06,2.3780647309219758e-06,0,0
14,139,193,2.3783814638462233e-06,2.270193942668522e-06,0,0,0,0
18,143,189,3.0918959030000905e-05,2.04317454840167e-05,1.0892336515105856e-05,0,8.02392198608117e-06,4.636627502619694e-06
18,57,192,2.3783814638462233e-06,0,0,0,0,0
10,158,188,1.6648670246923565e-05,0,0,4.7561294618439516e-06,0,0
18,93,191,2.3783814638462233e-06,0,0,0,0,0
18,129,192,2.3783814638462233e-06,0,0,0,0,0
6,55,193,2.3783814638462233e-06,0,0,1.664645311645383e-05,0,0
3,158,186,1.6648670246923565e-05,2.4972133369353743e-05,1.9969283611027402e-05,4.518322988751754e-05,2.674640662027057e-06,3.245639251833786e-05
3,164,193,7.13514439153867e-06,0,1.8153894191843091e-06,2.3780647309219758e-05,5.349281324054114e-06,3.245639251833786e-05
5,126,186,1.1891907319231117e-05,0,0,9.512258923687903e-06,5.349281324054114e-06,0
4,178,189,2.3783814638462233e-06,2.270193942668522e-06,0,9.512258923687903e-06,0,0
6,55,183,2.3783814638462233e-06,0,0,2.3780647309219758e-06,0,0
14,72,182,2.3783814638462233e-06,2.270193942668522e-06,3.6307788383686183e-06,8.085420085134717e-05,5.616745390256819e-05,6.723109878798557e-05
5,102,191,2.3783814638462233e-06,0,0,0,0,0
17,83,194,2.3783814638462233e-06,2.270193942668522e-06,0,2.3780647309219758e-06,0,2.318313751309847e-06
6,104,186,2.3783814638462233e-06,0,0,0,0,0
6,59,195,2.3783814638462233e-06,0,0,7.134194192765927e-06,0,2.318313751309847e-06
18,143,192,2.3783814638462233e-06,2.270193942668522e-06,0,2.3780647309219758e-06,0,0
5,162,198,2.3783814638462233e-06,0,0,2.3780647309219758e-06,0,0
7,44,191,2.3783814638462233e-06,0,0,0,0,0
